,loss,ssim_metric,val_loss,val_ssim_metric
42,-0.7526310563087464,0.7530800700187683,-0.6497364640235901,0.6497364640235901
43,-0.7514236736297607,0.7520561814308167,-0.6522517800331116,0.6522517800331116
44,-0.7515940976142883,0.7523250579833984,-0.6523789763450623,0.6523789763450623
45,-0.7511480164527893,0.7516288161277771,-0.6203098893165588,0.6203098893165588
46,-0.7471673989295959,0.7478954792022705,-0.6631718277931213,0.6631718277931213
47,-0.7552466511726379,0.7557293176651001,-0.6607570648193359,0.6607570648193359
48,-0.7487940669059754,0.7485285997390747,-0.6250730752944946,0.6250730752944946
49,-0.7551002979278565,0.7553510069847107,-0.6490753293037415,0.6490753293037415
50,-0.75834237575531,0.7588869333267212,-0.6627570986747742,0.6627570986747742
51,-0.7569223475456238,0.7573162913322449,-0.6378076672554016,0.6378076672554016
52,-0.7529433798789978,0.7535683512687683,-0.6550397872924805,0.6550397872924805
53,-0.7596102595329285,0.75968337059021,-0.6532227396965027,0.6532227396965027
54,-0.762237994670868,0.7628726959228516,-0.6606491208076477,0.6606491208076477
55,-0.7639928269386291,0.7645429372787476,-0.6648580431938171,0.6648580431938171
56,-0.7655440044403076,0.766058087348938,-0.6619736552238464,0.6619736552238464
57,-0.7582822823524475,0.7584702968597412,-0.6445322632789612,0.6445322632789612
58,-0.7560011720657349,0.7564729452133179,-0.6569327712059021,0.6569327712059021
59,-0.7622465777397156,0.7629039287567139,-0.6676731109619141,0.6676731109619141
60,-0.7676478123664856,0.7681554555892944,-0.6726212501525879,0.6726212501525879
61,-0.7602940273284912,0.7603728771209717,-0.6537938117980957,0.6537938117980957
62,-0.7630976939201355,0.7635504007339478,-0.6604940891265869,0.6604940891265869
63,-0.7665551209449768,0.767090916633606,-0.6661909818649292,0.6661909818649292
64,-0.7691793131828308,0.7693873047828674,-0.6747515797615051,0.6747515797615051
65,-0.761249749660492,0.7619221210479736,-0.6636106967926025,0.6636106967926025
66,-0.753371250629425,0.7534627318382263,-0.6500141620635986,0.6500141620635986
67,-0.7524660038948059,0.7527177333831787,-0.6538746953010559,0.6538746953010559
68,-0.7643631720542907,0.764940619468689,-0.6725552082061768,0.6725552082061768
69,-0.7693159437179565,0.7696433663368225,-0.6764288544654846,0.6764288544654846
70,-0.7709462141990662,0.7715603709220886,-0.6778083443641663,0.6778083443641663
71,-0.7725737166404724,0.7727099657058716,-0.6661360859870911,0.6661360859870911
72,-0.7671179437637329,0.7676941752433777,-0.6783370971679688,0.6783370971679688
73,-0.7701641750335694,0.7704451680183411,-0.6790584921836853,0.6790584921836853
74,-0.7748622632026673,0.7749924063682556,-0.6629334092140198,0.6629334092140198
75,-0.7724727392196655,0.772996187210083,-0.6802718043327332,0.6802718043327332
76,-0.7707344568692721,0.770734429359436,-0.6510729789733887,0.6510729789733887
77,-0.7679143881797791,0.7679319977760315,-0.6647329926490784,0.6647329926490784
78,-0.7703928446769714,0.7705663442611694,-0.6713876724243164,0.6713876724243164
79,-0.7769466180067796,0.7769466042518616,-0.6596150994300842,0.6596150994300842
80,-0.7793307709693909,0.7795056700706482,-0.6478932499885559,0.6478932499885559
81,-0.7742633247375488,0.7744534015655518,-0.6507025361061096,0.6507025361061096
82,-0.7670156478881835,0.767664909362793,-0.6263408064842224,0.6263408064842224
83,-0.756891782283783,0.7566225528717041,-0.6317868232727051,0.6317868232727051
84,-0.7709536957740784,0.7713035345077515,-0.6711898446083069,0.6711898446083069
85,-0.7804331421852112,0.7810379266738892,-0.6764709949493408,0.6764709949493408
86,-0.7816071647864121,0.7816070914268494,-0.6628350019454956,0.6628350019454956
87,-0.7815433239936829,0.7817369699478149,-0.6774277091026306,0.6774277091026306
88,-0.7821973395347596,0.7820236682891846,-0.6860389709472656,0.6860389709472656
