,loss,mean_squared_error,ssim_loss,val_loss,val_mean_squared_error,val_ssim_loss
32,0.12260608341206204,0.013022569008171558,0.12260612845420837,0.23927386983847007,0.06352496147155762,0.23927392065525055
33,0.12087134847586806,0.01291348971426487,0.12087135761976242,0.3311643111400115,0.33513516187667847,0.33116430044174194
34,0.12028651142662222,0.012392622418701649,0.12028651684522629,0.21436644135377345,0.09858106076717377,0.21436645090579987
35,0.11926666985858571,0.011753017082810402,0.11926668137311935,0.1580531153923426,0.04910808429121971,0.15805311501026154
36,0.12109953503717076,0.012586190365254879,0.12109950184822083,0.17231151920098525,0.07284244894981384,0.17231152951717377
37,0.11995702711018649,0.012226578779518604,0.11995700001716614,0.14591470666420767,0.0267855916172266,0.1459147185087204
38,0.11848858032714236,0.01142935361713171,0.11848857998847961,0.09670042456724705,0.008924241177737713,0.09670041501522064
39,0.11848693747412074,0.011049776338040829,0.11848694831132889,0.1204675894517165,0.01602478325366974,0.12046758830547333
40,0.11726650053804571,0.010550282895565033,0.11726651340723038,0.1864409844080607,0.08371738344430923,0.18644097447395325
41,0.11793948032639244,0.010635241866111755,0.11793951690196991,0.16898426642784706,0.06267968565225601,0.1689842939376831
42,0.1167682334780693,0.009945575147867203,0.1167682632803917,0.1570946046939263,0.04932055249810219,0.15709462761878967
43,0.11747742410410535,0.010278576985001564,0.1174774244427681,0.14633987652949798,0.03639443591237068,0.14633986353874207
44,0.1169782585718415,0.010108078829944134,0.1169782429933548,0.11833773591579536,0.01485114824026823,0.11833774298429489
45,0.11635553227229552,0.00975678488612175,0.11635550856590271,0.12536906813963866,0.010956916958093643,0.12536907196044922
46,0.11994692344557155,0.011622495017945766,0.1199469268321991,0.18579381093000755,0.02591678686439991,0.18579383194446564
47,0.12140966985713351,0.013335561379790306,0.12140965461730957,0.0953987615230756,0.006803690455853939,0.09539876133203506
48,0.11923614279790358,0.011716285720467567,0.11923613399267197,0.08952773152253567,0.005489739589393139,0.08952773362398148
49,0.11761904846538197,0.010695848613977432,0.11761903017759323,0.08887411539371197,0.003611326217651367,0.08887412399053574
