,loss,mean_squared_error,ssim,val_loss,val_mean_squared_error,val_ssim
22,0.06317950352545708,0.007196036167442799,0.06318702548742294,0.06899166107177734,0.0074830264784395695,0.06899166107177734
23,0.06193805029315333,0.006916177459061146,0.061891138553619385,0.07053074240684509,0.008343460038304329,0.07053074240684509
24,0.06091277349379755,0.006236582528799772,0.060944803059101105,0.0645914077758789,0.006860865745693445,0.0645914077758789
25,0.05905333738173208,0.005933867301791906,0.059042006731033325,0.06330636143684387,0.006404573563486338,0.06330636143684387
26,0.05612192423112931,0.005335649009793997,0.05616932362318039,0.0629940927028656,0.006241671275347471,0.0629940927028656
27,0.05529807363787005,0.005271796137094498,0.05535699427127838,0.061437636613845825,0.006762893404811621,0.061437636613845825
28,0.055636300194648006,0.005299670621752739,0.05567189306020737,0.06853291392326355,0.008074820972979069,0.06853291392326355
29,0.05636602159469358,0.005481400992721319,0.056357890367507935,0.06433272361755371,0.007200578227639198,0.06433272361755371
30,0.05408958273549234,0.00488974479958415,0.054201237857341766,0.06044849753379822,0.006661441642791033,0.06044849753379822
31,0.05472855221840643,0.005189231596887112,0.054878391325473785,0.06105813384056091,0.007073180750012398,0.06105813384056091
32,0.0529595305842738,0.004736739676445723,0.05297219753265381,0.058881670236587524,0.0064065358601510525,0.058881670236587524
33,0.05234633626476411,0.004656238481402397,0.05237525701522827,0.057868123054504395,0.006403387989848852,0.057868123054504395
34,0.052046436816453934,0.004653715528547764,0.052046433091163635,0.06035742163658142,0.006945183966308832,0.06035742163658142
35,0.05192745116449172,0.004541495349258184,0.05207245051860809,0.058886200189590454,0.006955854129046202,0.058886200189590454
36,0.05225903757156864,0.0045807552523911,0.0523819625377655,0.06002625823020935,0.007078621070832014,0.06002625823020935
37,0.05157365433631405,0.004501232877373695,0.051642633974552155,0.0579218864440918,0.00653670122846961,0.0579218864440918
38,0.05144705407081112,0.00446468498557806,0.05161619186401367,0.05815812945365906,0.007533751893788576,0.05815812945365906
39,0.05099911555167167,0.0043449848890304565,0.05104023963212967,0.058786630630493164,0.00651353457942605,0.058786630630493164
40,0.04945353538759293,0.0039228410460054874,0.049617037177085876,0.05792531371116638,0.00603503966704011,0.05792531371116638
41,0.05074730707753089,0.0042075514793396,0.05079255253076553,0.06030437350273132,0.006174322217702866,0.06030437350273132
42,0.051144747003432245,0.004135397262871265,0.05119364708662033,0.06117662787437439,0.007263860199600458,0.06117662787437439
43,0.049611186788928126,0.0038497389759868383,0.049732036888599396,0.05754813551902771,0.007017523515969515,0.05754813551902771
44,0.0488087986746142,0.0035423310473561287,0.04881374537944794,0.05937585234642029,0.0071446034125983715,0.05937585234642029
45,0.048792045923971364,0.003350098617374897,0.04881645739078522,0.0585174560546875,0.00697350362315774,0.0585174560546875
46,0.04705670668232825,0.003218232188373804,0.04704682528972626,0.058454036712646484,0.006760329008102417,0.058454036712646484
47,0.04770507158771638,0.0032313934061676264,0.04778869450092316,0.060738325119018555,0.007086035329848528,0.060738325119018555
48,0.046442883629952705,0.0030584498308598995,0.046501003205776215,0.05646196007728577,0.006920143961906433,0.05646196007728577
49,0.04611752879235052,0.0028876732103526592,0.04615252465009689,0.055265337228775024,0.006999345030635595,0.055265337228775024
